Kategorie,Anzahl Loesungen,Indizes der Puzzles,Anzahl der Puzzles
"(0, 0, 1, 6)",344,"[126, 1012, 1019]",3
"(0, 0, 2, 5)",313,"[123, 137, 144, 165, 214, 550, 1009, 1079, 1149, 1527, 1936, 1943]",12
"(0, 0, 2, 5)",286,"[121, 158, 221, 557, 1044, 2913]",6
"(0, 0, 3, 4)",342,"[190, 211, 582, 617, 1933, 2073]",6
"(0, 0, 3, 4)",222,"[134, 246, 281, 547, 2003, 2451]",6
"(0, 0, 3, 4)",180,"[155, 687, 1968]",3
"(0, 1, 0, 6)",460,"[798, 1016, 1021]",3
"(0, 1, 1, 5)",429,"[0, 14, 218, 554, 816, 1010, 1041, 1081, 1160, 1538, 2657, 2910]",12
"(0, 1, 1, 5)",417,"[124, 167, 223, 559, 793, 809, 830, 1050, 1155, 1533, 2650, 2919]",12
"(0, 1, 1, 5)",400,"[7, 141, 795, 837, 1017, 1090, 1146, 1151, 1524, 1529, 1722, 1940]",12
"(0, 1, 1, 5)",376,"[42, 122, 162, 336, 893, 1008, 1046, 1055, 1076, 1271, 2915, 2924]",12
"(0, 1, 1, 5)",364,"[146, 886, 1013, 1085, 1264, 1945]",6
"(0, 1, 2, 4)",508,"[32, 579, 1147, 1603, 1719, 2070]",6
"(0, 1, 2, 4)",479,"[25, 212, 219, 588, 619, 628, 862, 1563, 1717, 2079, 2647, 3040]",12
"(0, 1, 2, 4)",442,"[4, 243, 1225, 1525, 1761, 2448]",6
"(0, 1, 2, 4)",438,"[196, 201, 347, 584, 883, 1143, 1331, 1598, 1810, 1937, 1941, 2075]",12
"(0, 1, 2, 4)",395,"[2, 252, 283, 292, 548, 555, 806, 1185, 1754, 2457, 2717, 3334]",12
"(0, 1, 2, 4)",374,"[39, 187, 210, 354, 375, 614, 1120, 1568, 1817, 1932, 2911, 3045]",12
"(0, 1, 2, 4)",363,"[37, 192, 215, 368, 593, 623, 1115, 1296, 1934, 2084, 2787, 2907]",12
"(0, 1, 2, 4)",356,"[53, 138, 142, 248, 953, 1220, 1261, 1521, 2009, 2014, 2188, 2453]",12
"(0, 1, 2, 4)",312,"[163, 689, 827, 1654, 1733, 1974]",6
"(0, 1, 2, 4)",298,"[9, 156, 693, 698, 2682, 2949]",6
"(0, 1, 2, 4)",293,"[74, 135, 257, 287, 331, 551, 918, 1038, 2005, 2462, 2984, 3123]",12
"(0, 1, 2, 4)",288,"[60, 81, 133, 278, 333, 546, 1042, 1190, 2000, 2195, 2989, 3339]",12
"(0, 1, 2, 4)",278,"[11, 684, 1077, 1659, 1740, 1965]",6
"(0, 1, 2, 4)",212,"[159, 424, 1073, 1401, 1970, 1979]",6
"(0, 1, 2, 4)",194,"[154, 431, 2954]",3
"(0, 1, 3, 3)",490,"[400, 653, 658, 1807, 2067, 2071]",6
"(0, 1, 3, 3)",377,"[22, 279, 615, 685, 723, 763, 1730, 1751, 1786, 2109, 2487, 2578]",12
"(0, 1, 3, 3)",329,"[50, 240, 317, 322, 344, 580, 1877, 2149, 2255, 2445, 2449, 2522]",12
"(0, 1, 3, 3)",296,"[106, 244, 576, 2144, 2185, 2527]",6
"(0, 1, 3, 3)",229,"[71, 188, 365, 681, 728, 758, 1842, 1962, 2001, 2039, 2220, 2583]",12
"(0, 1, 3, 3)",184,"[184, 275, 421, 456, 491, 611, 1966, 1997, 2044, 2114, 2325, 2492]",12
